iter	MultiClass
0	1.293116417
1	1.027653134
2	0.8493898421
3	0.7189515751
4	0.6133458122
5	0.5314930129
6	0.4646538449
7	0.4068474967
8	0.3585234579
9	0.3175549521
10	0.2829832996
11	0.2505928114
12	0.2249045017
13	0.2028629441
14	0.1814327938
15	0.163995946
16	0.1486079483
17	0.1351219175
18	0.1226412533
19	0.1120348219
20	0.10301583
21	0.09356266326
22	0.08654015554
23	0.08077947536
24	0.07468529346
25	0.06917869714
26	0.06479561442
27	0.06066591298
28	0.05613210165
29	0.0507324563
30	0.04716414414
31	0.04370499588
32	0.04057478894
33	0.03803681479
34	0.03560553499
35	0.03383569358
36	0.03193595125
37	0.03052855339
38	0.02896448231
39	0.02766514702
40	0.02636741356
41	0.02537753783
42	0.0244684112
43	0.02346473728
44	0.02240258631
45	0.02150888939
46	0.0206792291
47	0.01998648748
48	0.01922631886
49	0.01865780734
50	0.01831538331
51	0.01775067666
52	0.01732656068
53	0.01687571341
54	0.01636335726
55	0.01597963881
56	0.01580338693
57	0.01547151512
58	0.01505545576
59	0.01469802117
60	0.01442838522
61	0.01401966769
62	0.01379404721
63	0.01357075695
64	0.01344324181
65	0.0131985018
66	0.01288592864
67	0.01269614873
68	0.01253908504
69	0.01220140645
70	0.01212712497
71	0.01195817138
72	0.0117454105
73	0.01158822566
74	0.01146841633
75	0.0113458345
76	0.01122309929
77	0.01028881116
78	0.01013308485
79	0.0098504005
80	0.009765251873
81	0.009597587309
82	0.009516938437
83	0.009412251271
84	0.009268937029
85	0.009217500216
86	0.009088123389
87	0.008963907338
88	0.008867926575
89	0.008805564679
90	0.008730666136
91	0.008685801068
92	0.008594527707
93	0.008484290363
94	0.00837585373
95	0.008301379731
96	0.008238800104
97	0.008165576357
98	0.008102138554
99	0.007991018643
100	0.007902708841
101	0.007805131304
102	0.007752583648
103	0.007730276188
104	0.007663743059
105	0.00757868807
106	0.007534829481
107	0.007455145362
108	0.007392291195
109	0.007317376952
110	0.007226827962
111	0.007194123919
112	0.007160084296
113	0.00710365442
114	0.007035674369
115	0.007012305698
116	0.006984030011
117	0.006940693642
118	0.006905319381
119	0.006884772283
120	0.006864529959
121	0.006843908016
122	0.00682382123
123	0.006781293859
124	0.006734597223
125	0.006724141626
126	0.006697239389
127	0.006644833907
128	0.006599154474
129	0.006557505096
130	0.006521990115
131	0.006494539192
132	0.006474510679
133	0.006448584821
134	0.006411029502
135	0.006389383667
136	0.006354242063
137	0.006305018002
138	0.006272760845
139	0.00626274685
140	0.006243605367
141	0.006203906084
142	0.006182704165
143	0.006152120857
144	0.006133371234
145	0.00612270517
146	0.006099309727
147	0.00607604882
148	0.006035999983
149	0.006002970661
150	0.00597749685
151	0.005950250639
152	0.005931139898
153	0.005908405525
154	0.005895055155
155	0.005878798558
156	0.005843015113
157	0.005825626781
158	0.005806124493
159	0.00578063073
160	0.005754153819
161	0.005727237732
162	0.005715625065
163	0.005692685655
164	0.005681171437
165	0.005605982239
166	0.005593931764
167	0.005583618181
168	0.005573852981
169	0.005565870683
170	0.005546378944
171	0.005487272537
172	0.005457438729
173	0.005427103229
174	0.005400462877
175	0.005399416654
176	0.005384316838
177	0.005367748859
178	0.005351821979
179	0.005334521557
180	0.005313159553
181	0.005300324828
182	0.005286956548
183	0.005271361683
184	0.005257643
185	0.00524979195
186	0.005242872299
187	0.00523099421
188	0.005218067978
189	0.005201752137
190	0.005180484735
191	0.005170219096
192	0.005165256645
193	0.00515908891
194	0.005142047858
195	0.005135969839
196	0.005129999638
197	0.005123443877
198	0.005111541333
199	0.005097012184
200	0.005083327622
201	0.005037494442
202	0.005015999519
203	0.005007630701
204	0.0049978029
205	0.004974662745
206	0.004962956013
207	0.004956290537
208	0.004945870238
209	0.004929791994
210	0.004917507648
211	0.004917056896
212	0.004899706933
213	0.004881565706
214	0.00487561201
215	0.004866326785
216	0.004852382083
217	0.00483450106
218	0.004820155873
219	0.004808514833
220	0.004802481419
221	0.004784893184
222	0.004780351837
223	0.004774741693
224	0.004767807551
225	0.004758565744
226	0.004754263676
227	0.00474842409
228	0.004742615069
229	0.004736432526
230	0.004725189222
231	0.004707402875
232	0.004703295679
233	0.004697513959
234	0.004687789248
235	0.004683064172
236	0.004677904635
237	0.004665946001
238	0.004662649614
239	0.004655435653
240	0.004650358128
241	0.004646939109
242	0.004632777366
243	0.004628687843
244	0.004622821808
245	0.004620305643
246	0.00460673986
247	0.004606301355
248	0.004602121405
249	0.004598337942
250	0.004593634848
251	0.004586154434
252	0.004576310409
253	0.004574254744
254	0.00456550528
255	0.004561833111
256	0.004559101459
257	0.004554648917
258	0.004542024898
259	0.004532499686
260	0.00452271207
261	0.004521649653
262	0.004518967911
263	0.004515173024
264	0.004507769224
265	0.004497925361
266	0.004495171781
267	0.004493985106
268	0.004491227408
269	0.004469341947
270	0.004469041987
271	0.004468944894
272	0.004457608544
273	0.004457525506
274	0.00445052275
275	0.004441917738
276	0.004439168461
277	0.004436451758
278	0.0044288719
279	0.004418915693
280	0.004416111944
281	0.004414659891
282	0.004408909044
283	0.004408808232
284	0.004406593617
285	0.00439749213
286	0.004394951231
287	0.004391388601
288	0.004389165423
289	0.004384711911
290	0.004378435563
291	0.004375048761
292	0.004372458701
293	0.004372184742
294	0.004371806117
295	0.004369387398
296	0.004367192274
297	0.004360518806
298	0.004357986755
299	0.004355205427
300	0.004353116162
301	0.004352991796
302	0.004350234908
303	0.004349871169
304	0.004347053946
305	0.004346473546
306	0.004344903154
307	0.004343074396
308	0.004337674012
309	0.004331196731
310	0.00431449335
311	0.004310416761
312	0.004307433085
313	0.004303582467
314	0.004298646006
315	0.004297222127
316	0.004294605981
317	0.004292004899
318	0.004290752974
319	0.004288724612
320	0.004285439783
321	0.004280290627
322	0.004272729999
323	0.00427109057
324	0.004269752833
325	0.004268108345
326	0.004262412516
327	0.004261012292
328	0.004260914947
329	0.004260850266
330	0.004257914337
331	0.004253360273
332	0.004251370665
333	0.004250731573
334	0.004249584654
335	0.004241592687
336	0.004233440533
337	0.004231959154
338	0.004228155764
339	0.004212114455
340	0.004209719987
341	0.004208990559
342	0.004207421391
343	0.004206904331
344	0.004204763666
345	0.004203124018
346	0.004192549962
347	0.004189434932
348	0.004182203296
349	0.004179169581
350	0.004178291962
351	0.0041759774
352	0.004174785115
353	0.004166555839
354	0.004166047672
355	0.004162899052
356	0.004159864829
357	0.004149691811
358	0.004149299168
359	0.004143555431
360	0.004143498975
361	0.004136184044
362	0.004128562347
363	0.004125543556
364	0.004123186826
365	0.004118972373
366	0.004115521216
367	0.004114437672
368	0.004111386441
369	0.004101562383
370	0.004099808222
371	0.004095279475
372	0.004092740406
373	0.004091798144
374	0.004091604156
375	0.004088916953
376	0.004086665624
377	0.004084208699
378	0.004079198733
379	0.004077309617
380	0.004077242156
381	0.004075382244
382	0.004074447989
383	0.004073152104
384	0.004072632403
385	0.00407065974
386	0.004069278186
387	0.004068859816
388	0.004065972097
389	0.004064637723
390	0.004061419925
391	0.00406074105
392	0.004060013055
393	0.004058558938
394	0.00405609468
395	0.004053755817
396	0.004050990052
397	0.004049731113
398	0.004048591134
399	0.004039907027
400	0.004030884614
401	0.004030323984
402	0.004024081735
403	0.004023256338
404	0.00402187621
405	0.004012895055
406	0.004010407209
407	0.00400695074
408	0.004006578436
409	0.004005755159
410	0.0039956712
411	0.003994556422
412	0.003987298884
413	0.003984573849
414	0.003982480293
415	0.003980600216
416	0.003973823056
417	0.003971914007
418	0.003967521813
419	0.003966931187
420	0.003961244873
421	0.003960447978
422	0.003957051043
423	0.003955957129
424	0.003953730739
425	0.003951469879
426	0.003950193298
427	0.003945549937
428	0.003938004127
429	0.003936687401
430	0.00393317917
431	0.003930418455
432	0.003928737898
433	0.003926788811
434	0.003925034101
435	0.00392394618
436	0.003922029388
437	0.003920284519
438	0.003916691202
439	0.003913159905
440	0.003912425454
441	0.003910640624
442	0.003909728179
443	0.003907135015
444	0.003906423998
445	0.003905769044
446	0.003904391265
447	0.003903243613
448	0.003899967114
449	0.003898490931
450	0.003896506548
451	0.003895566079
452	0.00389413927
453	0.003892893097
454	0.003891246543
455	0.003888961973
456	0.00388876001
457	0.003887378758
458	0.00388728927
459	0.003885303212
460	0.003883262598
461	0.00388012632
462	0.00387953406
463	0.003873443804
464	0.003872637246
465	0.003872301406
466	0.003871550306
467	0.003870935734
468	0.003870740557
469	0.003870265896
470	0.003869903865
471	0.003860456726
472	0.003857974166
473	0.003856461953
474	0.003856129182
475	0.003855713538
476	0.003853693884
477	0.003852762368
478	0.003849216182
479	0.003846587462
480	0.00384601252
481	0.003843852819
482	0.00384285856
483	0.003842364381
484	0.003841176106
485	0.003840408977
486	0.003839115665
487	0.003834917003
488	0.003833374835
489	0.003832163441
490	0.003827728851
491	0.003823474353
492	0.003822591873
493	0.00382142144
494	0.003820601116
495	0.003817510494
496	0.003808601263
497	0.003805402493
498	0.003803106252
499	0.00380034006
500	0.003798384385
501	0.003796937779
502	0.003795558709
503	0.003793332667
504	0.003791569775
505	0.003790534208
506	0.003786712643
507	0.003780804769
508	0.00377820209
509	0.003777552326
510	0.003776729715
511	0.003775451543
512	0.003775058635
513	0.003774055886
514	0.003770924873
515	0.00376790212
516	0.003765397711
517	0.003764638901
518	0.003762234298
519	0.003761640747
520	0.003759061297
521	0.003756311113
522	0.00375546552
523	0.003753045265
524	0.003751889272
525	0.003750895118
526	0.003750494613
527	0.003749574057
528	0.003748035141
529	0.003747636478
530	0.003746742406
531	0.003744235309
532	0.003743088876
533	0.003742450074
534	0.003739978478
535	0.003736271707
536	0.003735535956
537	0.003733254604
538	0.003732489367
539	0.00372944572
540	0.003728260484
541	0.003727546064
542	0.003725538983
543	0.003719197571
544	0.003718869451
545	0.003717953214
546	0.003716241584
547	0.003715680317
548	0.003713883562
549	0.003712362805
550	0.003710641775
551	0.003709257545
552	0.003708829571
553	0.003707585832
554	0.003706468124
555	0.003701441834
556	0.003700690426
557	0.003698581864
558	0.003697871924
559	0.003697263034
560	0.003696740816
561	0.003695868836
562	0.003694044849
563	0.003693198744
564	0.003689962745
565	0.003688934323
566	0.003687967212
567	0.003687355766
568	0.003682769808
569	0.003681430426
570	0.003679867445
571	0.003679263792
572	0.003677662113
573	0.003677073861
