iter	Passed	Remaining
0	2263	2260885
1	4435	2213420
2	6579	2186470
3	8820	2196379
4	11185	2225959
5	13405	2220915
6	15695	2226586
7	18129	2248082
8	20375	2243597
9	22621	2239548
10	24787	2228610
11	27157	2235957
12	29438	2235094
13	31794	2239223
14	34071	2237347
15	36374	2237022
16	38712	2238497
17	40949	2234029
18	43383	2239952
19	45874	2247855
20	48254	2249584
21	50760	2256514
22	53294	2263870
23	55587	2260566
24	57992	2261695
25	60553	2268438
26	63225	2278474
27	65660	2279372
28	68095	2280008
29	70543	2280905
30	73004	2281973
31	75395	2280702
32	78013	2286026
33	80584	2289558
34	83064	2290200
35	85625	2292847
36	88179	2295041
37	90614	2293970
38	93249	2297753
39	95714	2297136
40	98213	2297232
41	100878	2300986
42	103401	2301277
43	105865	2300178
44	108314	2298682
45	110997	2301997
46	114524	2322175
47	118410	2348472
48	121942	2366670
49	125468	2383892
50	129188	2403916
51	132996	2424629
52	136765	2443723
53	140399	2459597
54	144094	2475812
55	147903	2493232
56	151390	2504583
57	155051	2518243
58	158733	2531670
59	162160	2540514
60	165565	2548620
61	169025	2557185
62	172639	2567676
63	176313	2578586
64	179923	2588132
65	183424	2595733
66	187153	2606180
67	190829	2615481
68	194487	2624176
69	198134	2632356
70	201714	2639329
71	205459	2648138
72	208725	2650529
73	212281	2656390
74	215900	2662769
75	219657	2670576
76	223401	2677914
77	226901	2682091
78	230417	2686254
79	234175	2693013
80	237918	2699343
81	241680	2705638
82	245262	2709708
83	248713	2712157
84	252495	2718044
85	256097	2721780
86	259856	2727001
87	263709	2732988
88	267347	2736560
89	270719	2737277
90	274323	2740221
91	277849	2742258
92	281397	2744377
93	285032	2747223
94	288748	2750707
95	292335	2752821
96	296046	2755980
97	299825	2759618
98	303547	2762590
99	307171	2764539
100	310668	2765256
101	314380	2767780
102	318050	2769821
103	321602	2770731
104	325264	2772491
105	328919	2774092
106	332496	2774951
107	335901	2774300
108	339230	2772974
109	343025	2775391
110	346555	2775563
111	350175	2776390
112	353882	2777817
113	357696	2779992
114	361277	2780269
115	364955	2781209
116	368632	2782070
117	372278	2782622
118	375898	2782911
119	379595	2783698
120	383091	2782953
121	386662	2782702
122	390365	2783336
123	394186	2784739
124	397925	2785480
125	401629	2785902
126	405299	2786032
127	409055	2786690
128	412761	2786937
129	416152	2785020
130	419779	2784641
131	423401	2784186
132	427021	2783666
133	430815	2784226
134	434479	2783888
135	438120	2783350
136	441569	2781564
137	445219	2781011
138	448985	2781125
139	452473	2779478
140	456472	2780920
141	460141	2780293
142	463754	2779285
143	467339	2778074
144	470922	2776821
145	474665	2776469
146	478202	2774877
147	481767	2773420
148	485434	2772516
149	489112	2771638
150	492692	2770171
151	496237	2768484
152	499962	2767766
153	503415	2765515
154	506883	2763331
155	510436	2761593
156	513978	2759768
157	517698	2758875
158	521416	2757931
159	525296	2757804
160	529225	2757891
